id,region,year,quarter,balance,lst_pmnt
131,ВОРОНЕЖСКАЯ ОБЛ,2021,2021Q3,53185.95,9159.95
132,ВОРОНЕЖСКАЯ ОБЛ,2021,2021Q4,1418044.0499999998,122708.27
133,ВОРОНЕЖСКАЯ ОБЛ,2022,2022Q2,25947.47,1720.62
134,ДАГЕСТАН РЕСП,2018,2018Q1,59830.68,625.0
135,ДАГЕСТАН РЕСП,2021,2021Q1,47608.94,1521.0
136,ЕВРЕЙСКАЯ АОБЛ,2021,2021Q4,461.93,0.03
137,ЗАБАЙКАЛЬСКИЙ КРАЙ,2018,2018Q1,72163.04,4438.61
138,ЗАБАЙКАЛЬСКИЙ КРАЙ,2021,2021Q1,186943.65,16030.4
139,ЗАБАЙКАЛЬСКИЙ КРАЙ,2021,2021Q2,128949.01,2856.43
140,ЗАБАЙКАЛЬСКИЙ КРАЙ,2021,2021Q3,50412.84,2869.07
141,ЗАБАЙКАЛЬСКИЙ КРАЙ,2022,2022Q1,185827.32,12182.52
142,ЗАБАЙКАЛЬСКИЙ КРАЙ,2022,2022Q2,105698.28,5497.34
143,ИВАНОВСКАЯ ОБЛ,2018,2018Q1,235695.35,3116.34
144,ИВАНОВСКАЯ ОБЛ,2018,2018Q2,113906.23,4891.48
145,ИВАНОВСКАЯ ОБЛ,2018,2018Q3,8946.44,650.4
146,ИВАНОВСКАЯ ОБЛ,2018,2018Q4,3489.26,280.48
147,ИВАНОВСКАЯ ОБЛ,2021,2021Q1,11276.01,243.9
148,ИВАНОВСКАЯ ОБЛ,2021,2021Q2,12027.07,243.9
149,ИВАНОВСКАЯ ОБЛ,2021,2021Q4,318895.92000000004,10836.65
150,ИНГУШЕТИЯ РЕСП,2018,2018Q2,27980.21,7742.06
151,ИНГУШЕТИЯ РЕСП,2021,2021Q2,16972.11,1766.26
152,ИРКУТСКАЯ ОБЛ,2018,2018Q1,2508020.42,75247.63
153,ИРКУТСКАЯ ОБЛ,2018,2018Q2,2364927.53,63879.92
154,ИРКУТСКАЯ ОБЛ,2018,2018Q3,2625065.02,59298.67
155,ИРКУТСКАЯ ОБЛ,2018,2018Q4,2694164.75,132114.07
156,ИРКУТСКАЯ ОБЛ,2019,2019Q1,1183430.02,45513.33
157,ИРКУТСКАЯ ОБЛ,2019,2019Q2,1369787.44,44039.67
158,ИРКУТСКАЯ ОБЛ,2019,2019Q3,459407.77,7935.969999999999
159,ИРКУТСКАЯ ОБЛ,2019,2019Q4,1351688.86,127256.34000000001
160,ИРКУТСКАЯ ОБЛ,2020,2020Q1,468732.39,37790.38
161,ИРКУТСКАЯ ОБЛ,2020,2020Q2,396796.94,13365.42
162,ИРКУТСКАЯ ОБЛ,2020,2020Q3,886131.44,26507.53
163,ИРКУТСКАЯ ОБЛ,2020,2020Q4,5748790.74,298477.91
164,ИРКУТСКАЯ ОБЛ,2021,2021Q1,8530356.9,260267.72
165,ИРКУТСКАЯ ОБЛ,2021,2021Q2,2738482.17,73497.1
166,ИРКУТСКАЯ ОБЛ,2021,2021Q3,2753517.4,142209.93
167,ИРКУТСКАЯ ОБЛ,2021,2021Q4,6779444.33,345263.73
168,ИРКУТСКАЯ ОБЛ,2022,2022Q1,5793300.68,171291.37
169,ИРКУТСКАЯ ОБЛ,2022,2022Q2,8075718.66,326707.88
170,ИРКУТСКАЯ ОБЛ,2022,2022Q3,3472675.78,129556.17
171,КАЛИНИНГРАДСКАЯ ОБЛ,2018,2018Q3,8976.130000000001,1219.5
172,КАЛИНИНГРАДСКАЯ ОБЛ,2019,2019Q4,76327.41,5447.27
173,КАЛИНИНГРАДСКАЯ ОБЛ,2020,2020Q4,257592.91,2032.52
174,КАЛИНИНГРАДСКАЯ ОБЛ,2021,2021Q2,2019653.66,19026.83
175,КАЛИНИНГРАДСКАЯ ОБЛ,2021,2021Q4,71284.24,406.5
176,КАЛУЖСКАЯ ОБЛ,2018,2018Q1,46344.96,1421.4
177,КАЛУЖСКАЯ ОБЛ,2018,2018Q4,602.04,0.05
178,КАЛУЖСКАЯ ОБЛ,2019,2019Q1,460076.42,3183.61
179,КАЛУЖСКАЯ ОБЛ,2019,2019Q2,136907.67,959.91
180,КАЛУЖСКАЯ ОБЛ,2019,2019Q4,252410.28999999998,3.92
181,КАЛУЖСКАЯ ОБЛ,2020,2020Q1,1285465.2,9388.89
182,КАЛУЖСКАЯ ОБЛ,2020,2020Q4,481236.23,3708.33
183,КАЛУЖСКАЯ ОБЛ,2021,2021Q1,5024.61,1724.39
184,КАЛУЖСКАЯ ОБЛ,2021,2021Q2,211955.28,4420.73
185,КАЛУЖСКАЯ ОБЛ,2021,2021Q4,137581.33000000002,1503.1699999999998
186,КАЛУЖСКАЯ ОБЛ,2022,2022Q2,723344.03,9014.63
187,КАМЧАТСКИЙ КРАЙ,2018,2018Q3,205490.38,8130.08
188,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,2018,2018Q1,212624.43,2903.03
189,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,2018,2018Q2,54207.16,3222.11
190,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,2018,2018Q3,103522.02,876.62
191,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,2020,2020Q4,158355.35,8264.6
192,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,2021,2021Q1,29212.63,1037.39
193,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,2021,2021Q2,86369.1,2923.57
194,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,2022,2022Q1,65903.99,890.24
195,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,2022,2022Q2,18633.33,2201.62
196,КАРЕЛИЯ РЕСП,2018,2018Q1,216544.63,1804.86
197,КАРЕЛИЯ РЕСП,2018,2018Q2,162518.47,862.3
198,КАРЕЛИЯ РЕСП,2018,2018Q3,100319.51000000001,1056.9
199,КАРЕЛИЯ РЕСП,2018,2018Q4,625597.94,6644.87
200,КАРЕЛИЯ РЕСП,2019,2019Q1,215542.61,1178.85
201,КАРЕЛИЯ РЕСП,2019,2019Q2,195564.41999999998,1219.5
202,КАРЕЛИЯ РЕСП,2019,2019Q3,97817.25,406.5
203,КАРЕЛИЯ РЕСП,2019,2019Q4,380998.95,4203.22
204,КАРЕЛИЯ РЕСП,2020,2020Q1,97895.44,512.93
205,КАРЕЛИЯ РЕСП,2020,2020Q2,123107.0,967.47
206,КАРЕЛИЯ РЕСП,2020,2020Q3,186471.79,975.6
207,КАРЕЛИЯ РЕСП,2020,2020Q4,114789.42,10089.449999999999
208,КАРЕЛИЯ РЕСП,2021,2021Q1,461313.6,4329.87
209,КАРЕЛИЯ РЕСП,2021,2021Q2,55037.92,2539.29
210,КАРЕЛИЯ РЕСП,2021,2021Q3,261151.50999999998,17402.22
211,КАРЕЛИЯ РЕСП,2021,2021Q4,282216.83,5032.5
212,КАРЕЛИЯ РЕСП,2022,2022Q1,59977.880000000005,8373.98
213,КАРЕЛИЯ РЕСП,2022,2022Q2,50001.73,162.6
214,КАРЕЛИЯ РЕСП,2022,2022Q3,368807.53,4471.54
215,КЕМЕРОВСКАЯ ОБЛ,2018,2018Q2,45226.88,2908.37
216,КЕМЕРОВСКАЯ ОБЛ,2020,2020Q4,4592.9,8878.15
217,КЕМЕРОВСКАЯ ОБЛ,2022,2022Q2,127091.34,3737.38
218,КЕМЕРОВСКАЯ ОБЛ,2022,2022Q3,179206.0,7135.09
